bf1c800a 408afcdf 410a3b1f 
3fec438e c11490c2 befffacd 
3c7c9b85 c10e21e7 bfdd16cc 
3f78bcb6 c0e1c9bf bf98f49d 
c02dc5e6 c12acbc8 bfd598f1 
3f578d40 c12a1a97 c024ce5c 
3f351a0f c140b4a7 bf593ce4 
bea775b3 c161ce0a 3ddc1ca4 
bfd83405 c158dd3e 3f7679ec 
bf0b99d4 c144d95b 3fd04a41 
3fd1bf09 c146fe1b 3f8c805d 
4067398a c149b600 3f251f4a 
40aa5ccf c162f93e 3d163733 
40c872e2 c17ae0d8 bf2b40e4 
40a9814f c17ca7c8 bfbc4e57 
4058faac c1749ec0 bff5abe9 
3f75b5b8 c1725981 bc64151f 
3e7c9b85 c1729d90 bfd1098d 
3fbb8a24 c1330dd7 bff46d16 
406b2229 c0c15239 bfd51481 
4085a6d4 c05bba8a bfcd6f69 
4003704d c0140f63 bead5c71 
3f40a2df bfddd617 3e73905c 
3ec23514 bf991bdb 3efed480 
3eef1e66 bf482f71 3f9218a0 
3f6937a9 bd74a30a 3f480833 
3faf55a8 3f053d5f bf170536 
3f964103 bd081d1f c0297b2d 
3e425c52 c032fe83 c0ac95ca 
3f9fee09 c127566e c104e64e 
4055a2c0 c181c31d c12c8365 
4077b163 c190c8a2 c186f54a 
408ce9d3 c11dac79 c16b4034 
408c0210 c016cf41 c0d3d474 
4083032a c04bfd15 c0488ca3 
40d6af4c c138b56d c090bed3 
40b5b979 c185f811 c0be6014 
4082105e c172a278 c093a99c 
3ffec0e1 c0e75484 bd57d1ec 
40027b0d c0d5a04c 3fa5864c 
3f9d0961 c107f2d0 3f54a3b1 
bad7d1ec c12ad6d2 3f279cf1 
bdce9f85 c1447b8c 3f7584ac 
bdb8db71 c1386bda bfed7d7a 
bd9a81ec c12e6cab c044a8ec 
3fd0b62a c11efbda c009ca4f 
402ab78d c102f6e7 3f8f9612 
4011a7cf c0f4f7a7 4043a9dc 
3f192a92 c117ca06 4062b182 
bfb563a3 c128017e bf54e85c 
3f1213b8 c0e5b87f c0e4ca9b 
3fdffb73 c0ceae3c bfbc09ac 
3ea2184d c0e1efc3 bf05d085 
be092fcd c0e01534 c02f2e6a 
bd081d1f c0fe5ec8 c032a3c4 
bf228436 c109f53a c013c35c 
bfb90c7d c10b89e4 c0007cee 
bfcf28dc c1199059 bfeb97e1 
bfd5f623 c12a0832 bfe54053 
bf49df14 c12ceba0 bfcc88e0 
3ee89ab3 c12cf9ba c0179fb8 
3f70eb78 c1350360 c01e9b97 
bf3e7d83 c14b0ae6 bf531b4a 
c04b69ef c15b736b 3f949b2e 
bfedbd3d c153b706 40333e46 
3e881d1f c15d6857 4004a2dd 
3fcb7632 c1619504 3fab285d 
404cab36 c16393c0 3f4b0f31 
40ab71f1 c1805251 be89570a 
40bc4aa9 c1801b23 bf4de521 
408dc552 c17167ef bfcd87ef 
40316ec1 c163bcd4 3ec1d2fb 
3f67d680 c1718ae2 be66b033 
3f8cac83 c14a655b bf9fc6cc 
40034428 c1020b76 bea53cb8 
4041fcac c08405e7 be2b0fd7 
3fdb6c0f bfc60045 bf7a0a40 
3ed7d1ec bfa7bf46 bebdaf80 
3d86463d bf9ee52a 3de152cd 
3e905076 bf9b065b 3f2cd31a 
3f2b5e52 bf620361 3f8460a5 
3fde3831 3e62db33 3c6b70a4 
3fd89fee bd6fbb5c c007765a 
3e7716e1 c00b0922 c09b38a2 
3f3486e9 c0c2d6f2 c0ec1769 
40966358 c171ec5f c12eec33 
40aaec47 c190bf70 c18622ae 
40a6035f c13ed0e5 c14c7541 
40845cf7 c0a1e392 c0e50f46 
401b8aca c089bcd2 c0bc56ec 
40addbf8 c13764d2 c0f5ce3f 
40c092ee c1876c3c c103ca6e 
40872b8c c167a439 c094f378 
40847a65 c0b5d1ff 3eb6dd52 
40418968 c0badfb1 3f2e47e1 
bbb0947b c10d0e9c 3f66feae 
bfb36a6c c129cd56 403cb7cc 
bfa402cd c14317f0 4061d4c8 
3dbd2629 c13d6d48 bea59ed2 
3f44a8ec c1231622 c05780fd 
400dd543 c10adb26 c06caa8f 
4047a88d c0f481ee bfe9ad61 
3fc1ff20 c1035cae 40143b88 
beddf385 c122d6fb 408471d0 
bf99d63f c1339380 3fefbb5c 
bedeb7b8 c1166706 c085f7c3 
400b107d c0d7638f c0750ef3 
3fd8961f c0cd284a be14fd48 
3ee7124d c0d4cfd6 be9d443d 
bdbc8933 c0dbf1b9 c003d4da 
beaf0c14 c0f89926 c01d641f 
bf34f2d2 c10b272d c016126a 
bfbbec3d c11e2d3a c0059d04 
bfd067af c12748f1 bfef8568 
c006d47c c12ae9d4 bfb2efcc 
bf9a5aae c12ec62f bfa8660c 
3e79b1f6 c136bf47 bff4e2ce 
3ef8b2e6 c1520c4a be9f699a 
3f34df33 c16d64f3 bf0c7b76 
bf07ffb1 c161225d 3ed4fbfb 
3f0a079f c138d689 40184409 
3febd2bd c12e21de 400ee30a 
40399848 c13acf23 3fc410dd 
40877a07 c171b493 be163733 
409d9044 c18a6ea0 bffe7c36 
408ab0d8 c18317b4 c0570175 
403d460b c164c961 bfccf4c9 
3fdd42f1 c15b897d 3ec1abbd 
3f94342d c15ab559 bf859f78 
3fa61972 c12198c5 bf52cccf 
400747c1 c0d15cef bd289c00 
400b4dcd c06c65e4 bfdf5996 
3f4daa45 c02620cd bfc2e0c1 
3f136b12 c00ab833 bdd7d1ec 
3f3b7685 bfa0c0f3 3f36405c 
3f61efc3 bf41c92c 3f8e4888 
3f895223 be8bcae1 3f22c8e1 
3fa3d1c0 3e2ac15c bf1e60bb 
3f22221c bf0c71a6 c02b483f 
bef91500 c04a28a8 c0d00596 
4023748e c1262652 c1206635 
40c8e89b c180ab87 c12f6325 
40aa8546 c18f798f c1571514 
3ff923b7 c126824a c150ae32 
3f6dc70d c043e244 c10cf88a 
4033a060 c0979374 c0ce6991 
40ccf4c9 c1536440 c0d0e9ab 
40db0160 c18941e3 c09e3e65 
4094045a c14e0cfc bffc9b85 
40009a5c c0cffd00 3fb93d8a 
3fb49f6f c0f9d09e 3f98aff2 
3f549012 c1104396 3f8a5fe9 
3ded9600 c122e02e 3fdf3258 
ba1cf5c3 c13b7411 3e922757 
be3efd0a c1384fa6 c04331b0 
3f0420e1 c12dd229 c07549cf 
3fd2c300 c115b2c4 c0173b2a 
3fe9776d c101b3c9 3fc5bb9a 
3f854c16 c10313b8 40762689 
bea45148 c1152211 4075e1dd 
bf025d9f c10fd5d6 bffe59e0 
3fcb4525 c0e251dc c0ecff2c 
401ff2f1 c0d93314 bfb118ea 
3f963c1b c0e2c173 becb0561 
3ef22f33 c0ee2579 c03a8b14 
bde4639a c10079dd c03b67ce 
bfb3b3ff c10c3ffd bfd2796d 
c01ab7e0 c1124f31 bf97d820 
c00a49d6 c1209919 bf9d1331 
bfbc5d0e c12c0ee6 bf9fae45 
bf671c1c c129f841 bf88e63a 
beb62cbd c128868a c002515c 
3f4e1ffd c12c28a7 c0267430 
3f0cc021 c13ee039 bfb4f2d2 
bffcf3cf c1601ab8 3f1a3371 
c004792c c1564674 400778cd 
3e88445c c1448e8e 400cb16a 
4027bcd3 c149ff93 3f4cc8a4 
4081114e c142b49c 3eb6405c 
40b4abb3 c1710bf7 bf8352df 
40d0b143 c18ae8f2 bffb1806 
4089d41e c185316a c02116ca 
404e70ec c0f6b11a bfb495a0 
3e4b677b c11019e4 beda5961 
3f932b4e c0f4cf2f bffef1ee 
bf85fcaa c105e4c1 bfff5dd7 
bf97dd08 c13bf747 bf5da50a 
c013ea9a c15dd88b 3e2a2466 
c011857a c158a7e7 3fe5f0e8 
bf847444 c15085ba 40099e2a 
3feb4e4e c1527833 3fba8b14 
4076e848 c15eedad 3fa6b180 
40aedd7c c17a9e03 3ed75c33 
40d29815 c185f8fc bf8fd5d6 
408ce899 c175475c c034a1e3 
40187c71 c166e140 bf9cff92 
3f089ca6 c1798534 bd8edbae 
3e612b8f c16eecbd c007390a 
3f31a729 c12a102b beca8fa9 
40247d6d c09bd324 bf193461 
403ae0eb bfbb4f48 bf918a61 
3ff273df bf2e965c be5b3133 
3f6bf9fb bf143914 3ed55e14 
3ebc61f6 3e1e2fae 3f92ba7d 
3f05e424 3f3fdeac 3f8c195c 
3fb896c5 3f9b0173 bd3a63d7 
3fdb6c0f 3eb2cd76 c0347832 
3faf4bd8 c0891ea2 c1007fff 
409c8ffb c1380cd1 c11aa3a4 
40cace33 c186c0dd c13d01fc 
4035a0f3 c18e5fd4 c178ebec 
3d11ec7b c10337e4 c1394fef 
beb58fc8 c0785341 c0f777c1 
40414c18 c0914342 c0b1aad7 
40ed6c4f c123c132 c0a45d8b 
4103a8b5 c1555756 c0444946 
40a95dbf c155d1f6 c01b2d98 
40034df7 c114efcb bf207c48 
3f65a754 c0f471fd be66133d 
3f30b1e9 c0fe8605 3f9f1637 
bccb8eb8 c11bc8b7 401cd854 
3e7c9b85 c1469408 3e1a3371 
3dd161d7 c1458020 c0479007 
3d487dec c12c5dfe c06ae4d9 
3fdcaae3 c1069deb bfe7794e 
3fdad8e9 c0e1f992 3f8154c0 
3f9a3858 c0ecb45f 404712f3 
bf05edf3 c1186f91 4086774a 
bf98976c c1208f49 c00e59b3 
3f45c569 c100632e c0c8f4de 
400f3184 c0d0243e bfc74dcf 
3f924e94 c0c8ab4b 3fa12cdc 
be31ce66 c0daba41 bfb7c3db 
bfb153c6 c0fa73b5 c0671e90 
c018d72f c10ea20c c00caa0f 
c00a899a c11d6b7b bfd49012 
bfd8cc13 c132a4fe c0011c58 
bf3a7776 c1380f45 bf855acd 
3fc472f7 c12c85d9 bfc6899c 
40432085 c12828bc c00c0d19 
3ff980e9 c145d420 bf323080 
bea3db8f c177276f bf37b524 
c008b7a1 c169f036 3d4c2bae 
